Model                                          Truncated      Total     Rate
---------------------------------------------------------------------------
Qwen3-Omni-30B-A3B-Instruct                        25965     259922    10.0%
Trinity-Nano-Preview                               21310     259922     8.2%
Qwen3-30B-A3B-Instruct-2507                        21074     259922     8.1%
Qwen3-4B-Instruct-2507                             19903     259922     7.7%
Qwen3-235B-A22B-Instruct-2507                      17985     259922     6.9%
Ministral-3-3B-Instruct-2512                       16639     259922     6.4%
Qwen3-Next-80B-A3B-Instruct                        16474     259922     6.3%
Ministral-3-8B-Instruct-2512                       13650     259922     5.3%
Ministral-3-14B-Instruct-2512                      11376     259922     4.4%
Qwen3.5-397B-A17B                                   9670     259922     3.7%
Mistral-Large-3-675B-Instruct-2512                  7665     259922     2.9%
Qwen2.5-0.5B-Instruct                               6752     259922     2.6%
SmolLM3-3B                                          6564     259922     2.5%
Qwen3-1.7B                                          5518     259922     2.1%
Qwen3-8B                                            4064     259922     1.6%
Qwen3-0.6B                                          3596     259922     1.4%
Qwen2.5-1.5B-Instruct                               3327     259922     1.3%
EuroLLM-1.7B-Instruct                               2993     259922     1.2%
Qwen3-32B                                           1733     259922     0.7%
Mistral-Small-24B-Instruct-2501                      953     259922     0.4%
EuroLLM-9B-Instruct-2512                             941     259922     0.4%
EuroLLM-22B-Instruct-2512                            889     259922     0.3%
Mixtral-8x22B-Instruct-v0.1                          498     259922     0.2%
---------------------------------------------------------------------------
TOTAL                                             219539    5978206     3.7%
